Control 1,Control 2,Grup
35,34,1
45,30,0
64,19,1
67,30,0
82,31,0
50,34,1
68,30,0
46,23,2
43,51,2
77,53,1
64,39,2
30,30,2
54,2,0
68,39,1
59,74,1
57,8,0
73,25,2
51,37,0
47,4,0
53,37,0
52,52,1
9,4,1
63,31,2
78,53,2
50,19,2
72,32,2
23,23,2
55,23,2
30,3,0
88,63,0
50,41,2
81,30,1
54,48,0
75,55,0
31,10,2
60,43,2
36,21,2
57,25,2
44,58,0
70,24,2
90,55,2
33,43,0
36,19,2
60,26,2
64,30,0
52,36,2
53,17,2
74,72,1
64,76,0
100,78,0
67,30,1
38,18,2
50,25,2
63,16,0
62,26,2
58,35,0
46,36,0
94,61,0
94,61,2
30,30,1
67,55,2
80,35,2
13,5,1
59,23,2
73,30,1
68,61,1
68,19,2
71,17,2
43,44,1
55,69,1
43,35,1
64,45,1
60,76,0
70,30,1
57,6,0
72,43,2
74,41,2
66,29,1
70,54,0
96,50,2
51,32,0
64,35,1
66,60,0
92,38,2
55,28,2
67,28,2
56,17,2
79,18,0
77,51,0
45,46,1
71,35,0
72,58,2
68,46,0
52,50,2
55,26,2
69,30,0
70,19,1
72,52,0
45,65,1
71,62,1
60,75,1
55,53,2
78,60,0
69,62,0
65,30,0
48,18,2
96,54,2
67,35,1
78,46,2
62,54,1
51,39,0
74,35,2
41,40,1
71,40,2
80,30,0
56,41,0
54,53,2
66,50,0
35,2,0
44,24,2
72,20,2
82,58,2
96,53,2
60,30,0
94,52,2
60,30,2
43,36,2
80,25,2
48,54,0
57,57,1
63,8,2
53,30,0
37,19,0
63,61,1
52,70,1
48,35,0
77,85,0
56,39,1
94,48,2
80,37,2
90,32,2
62,10,2
84,41,2
67,8,0
54,48,1
69,49,0
70,18,0
90,58,2
86,58,1
79,65,1
76,30,2
3,15,1
61,63,1
65,57,0
26,15,0
13,36,0
