"MB" "BH" "BL" "NH" "Year"
"1" 131 138 89 49 -4000
"2" 125 131 92 48 -4000
"3" 131 132 99 50 -4000
"4" 119 132 96 44 -4000
"5" 136 143 100 54 -4000
"6" 138 137 89 56 -4000
"7" 139 130 108 48 -4000
"8" 125 136 93 48 -4000
"9" 131 134 102 51 -4000
"10" 134 134 99 51 -4000
"11" 129 138 95 50 -4000
"12" 134 121 95 53 -4000
"13" 126 129 109 51 -4000
"14" 132 136 100 50 -4000
"15" 141 140 100 51 -4000
"16" 131 134 97 54 -4000
"17" 135 137 103 50 -4000
"18" 132 133 93 53 -4000
"19" 139 136 96 50 -4000
"20" 132 131 101 49 -4000
"21" 126 133 102 51 -4000
"22" 135 135 103 47 -4000
"23" 134 124 93 53 -4000
"24" 128 134 103 50 -4000
"25" 130 130 104 49 -4000
"26" 138 135 100 55 -4000
"27" 128 132 93 53 -4000
"28" 127 129 106 48 -4000
"29" 131 136 114 54 -4000
"30" 124 138 101 46 -4000
"31" 124 138 101 48 -3300
"32" 133 134 97 48 -3300
"33" 138 134 98 45 -3300
"34" 148 129 104 51 -3300
"35" 126 124 95 45 -3300
"36" 135 136 98 52 -3300
"37" 132 145 100 54 -3300
"38" 133 130 102 48 -3300
"39" 131 134 96 50 -3300
"40" 133 125 94 46 -3300
"41" 133 136 103 53 -3300
"42" 131 139 98 51 -3300
"43" 131 136 99 56 -3300
"44" 138 134 98 49 -3300
"45" 130 136 104 53 -3300
"46" 131 128 98 45 -3300
"47" 138 129 107 53 -3300
"48" 123 131 101 51 -3300
"49" 130 129 105 47 -3300
"50" 134 130 93 54 -3300
"51" 137 136 106 49 -3300
"52" 126 131 100 48 -3300
"53" 135 136 97 52 -3300
"54" 129 126 91 50 -3300
"55" 134 139 101 49 -3300
"56" 131 134 90 53 -3300
"57" 132 130 104 50 -3300
"58" 130 132 93 52 -3300
"59" 135 132 98 54 -3300
"60" 130 128 101 51 -3300
"61" 137 141 96 52 -1850
"62" 129 133 93 47 -1850
"63" 132 138 87 48 -1850
"64" 130 134 106 50 -1850
"65" 134 134 96 45 -1850
"66" 140 133 98 50 -1850
"67" 138 138 95 47 -1850
"68" 136 145 99 55 -1850
"69" 136 131 92 46 -1850
"70" 126 136 95 56 -1850
"71" 137 129 100 53 -1850
"72" 137 139 97 50 -1850
"73" 136 126 101 50 -1850
"74" 137 133 90 49 -1850
"75" 129 142 104 47 -1850
"76" 135 138 102 55 -1850
"77" 129 135 92 50 -1850
"78" 134 125 90 60 -1850
"79" 138 134 96 51 -1850
"80" 136 135 94 53 -1850
"81" 132 130 91 52 -1850
"82" 133 131 100 50 -1850
"83" 138 137 94 51 -1850
"84" 130 127 99 45 -1850
"85" 136 133 91 49 -1850
"86" 134 123 95 52 -1850
"87" 136 137 101 54 -1850
"88" 133 131 96 49 -1850
"89" 138 133 100 55 -1850
"90" 138 133 91 46 -1850
"91" 137 134 107 54 -200
"92" 141 128 95 53 -200
"93" 141 130 87 49 -200
"94" 135 131 99 51 -200
"95" 133 120 91 46 -200
"96" 131 135 90 50 -200
"97" 140 137 94 60 -200
"98" 139 130 90 48 -200
"99" 140 134 90 51 -200
"100" 138 140 100 52 -200
"101" 132 133 90 53 -200
"102" 134 134 97 54 -200
"103" 135 135 99 50 -200
"104" 133 136 95 52 -200
"105" 136 130 99 55 -200
"106" 134 137 93 52 -200
"107" 131 141 99 55 -200
"108" 129 135 95 47 -200
"109" 136 128 93 54 -200
"110" 131 125 88 48 -200
"111" 139 130 94 53 -200
"112" 144 124 86 50 -200
"113" 141 131 97 53 -200
"114" 130 131 98 53 -200
"115" 133 128 92 51 -200
"116" 138 126 97 54 -200
"117" 131 142 95 53 -200
"118" 136 138 94 55 -200
"119" 132 136 92 52 -200
"120" 135 130 100 51 -200
"121" 137 123 91 50 150
"122" 136 131 95 49 150
"123" 128 126 91 57 150
"124" 130 134 92 52 150
"125" 138 127 86 47 150
"126" 126 138 101 52 150
"127" 136 138 97 58 150
"128" 126 126 92 45 150
"129" 132 132 99 55 150
"130" 139 135 92 54 150
"131" 143 120 95 51 150
"132" 141 136 101 54 150
"133" 135 135 95 56 150
"134" 137 134 93 53 150
"135" 142 135 96 52 150
"136" 139 134 95 47 150
"137" 138 125 99 51 150
"138" 137 135 96 54 150
"139" 133 125 92 50 150
"140" 145 129 89 47 150
"141" 138 136 92 46 150
"142" 131 129 97 44 150
"143" 143 126 88 54 150
"144" 134 124 91 55 150
"145" 132 127 97 52 150
"146" 137 125 85 57 150
"147" 129 128 81 52 150
"148" 140 135 103 48 150
"149" 147 129 87 48 150
"150" 136 133 97 51 150
