"sexo" "curso" "nivel.feliz"
"1" "Hombre" "1" "Poco.feliz"
"2" "Mujer" "2" "Muy.feliz"
"3" "Hombre" "3" "Feliz"
"4" "Mujer" "2" "Feliz"
"5" "Hombre" "1" "Feliz"
"6" "Hombre" "3" "Feliz"
"7" "Hombre" "2" "Feliz"
"8" "Hombre" "1" "Muy.feliz"
"9" "Mujer" "1" "Feliz"
"10" "Hombre" "1" "Feliz"
"11" "Hombre" "2" "Infeliz"
"12" "Mujer" "2" "Poco.feliz"
"13" "Hombre" "1" "Muy.feliz"
"14" "Mujer" "3" "Feliz"
"15" "Hombre" "4" "Muy.feliz"
"16" "Hombre" "2" "Muy.feliz"
"17" "Hombre" "1" "Muy.feliz"
"18" "Hombre" "1" "Poco.feliz"
"19" "Hombre" "3" "Poco.feliz"
"20" "Hombre" "1" "Feliz"
"21" "Hombre" "3" "Muy.feliz"
"22" "Hombre" "1" "Muy.feliz"
"23" "Hombre" "3" "Muy.feliz"
"24" "Mujer" "1" "Feliz"
"25" "Hombre" "2" "Infeliz"
"26" "Hombre" "1" "Feliz"
"27" "Mujer" "4" "Feliz"
"28" "Mujer" "2" "Poco.feliz"
"29" "Hombre" "3" "Feliz"
"30" "Mujer" "4" "Muy.feliz"
"31" "Mujer" "3" "Muy.feliz"
"32" "Hombre" "4" "Feliz"
"33" "Mujer" "2" "Feliz"
"34" "Mujer" "3" "Poco.feliz"
"35" "Mujer" "1" "Muy.feliz"
"36" "Mujer" "4" "Muy.feliz"
"37" "Hombre" "3" "Muy.feliz"
"38" "Mujer" "2" "Poco.feliz"
"39" "Hombre" "1" "Muy.feliz"
"40" "Hombre" "3" "Poco.feliz"
"41" "Mujer" "2" "Feliz"
"42" "Hombre" "1" "Poco.feliz"
"43" "Hombre" "1" "Feliz"
"44" "Hombre" "4" "Poco.feliz"
"45" "Hombre" "1" "Feliz"
"46" "Hombre" "3" "Feliz"
"47" "Hombre" "1" "Poco.feliz"
"48" "Mujer" "4" "Feliz"
"49" "Mujer" "2" "Muy.feliz"
"50" "Hombre" "3" "Feliz"
"51" "Hombre" "1" "Muy.feliz"
"52" "Hombre" "3" "Muy.feliz"
"53" "Hombre" "1" "Poco.feliz"
"54" "Mujer" "2" "Feliz"
"55" "Hombre" "1" "Feliz"
"56" "Hombre" "4" "Feliz"
"57" "Hombre" "1" "Infeliz"
"58" "Mujer" "2" "Muy.feliz"
"59" "Hombre" "3" "Feliz"
"60" "Hombre" "2" "Muy.feliz"
"61" "Hombre" "2" "Infeliz"
"62" "Hombre" "4" "Muy.feliz"
"63" "Hombre" "3" "Feliz"
"64" "Mujer" "3" "Poco.feliz"
"65" "Hombre" "2" "Feliz"
"66" "Hombre" "4" "Feliz"
"67" "Hombre" "2" "Feliz"
"68" "Hombre" "2" "Poco.feliz"
"69" "Hombre" "1" "Feliz"
"70" "Hombre" "1" "Infeliz"
"71" "Mujer" "4" "Poco.feliz"
"72" "Hombre" "2" "Poco.feliz"
"73" "Mujer" "1" "Poco.feliz"
"74" "Hombre" "1" "Muy.feliz"
"75" "Hombre" "2" "Muy.feliz"
"76" "Hombre" "2" "Muy.feliz"
"77" "Hombre" "2" "Poco.feliz"
"78" "Mujer" "3" "Feliz"
"79" "Hombre" "1" "Infeliz"
"80" "Mujer" "2" "Poco.feliz"
"81" "Hombre" "1" "Feliz"
"82" "Hombre" "1" "Poco.feliz"
"83" "Hombre" "1" "Feliz"
"84" "Hombre" "1" "Infeliz"
"85" "Hombre" "2" "Feliz"
"86" "Hombre" "2" "Infeliz"
"87" "Hombre" "2" "Poco.feliz"
"88" "Hombre" "3" "Muy.feliz"
"89" "Hombre" "2" "Muy.feliz"
"90" "Mujer" "3" "Feliz"
"91" "Hombre" "3" "Feliz"
"92" "Hombre" "4" "Muy.feliz"
"93" "Hombre" "2" "Feliz"
"94" "Hombre" "4" "Feliz"
"95" "Hombre" "1" "Poco.feliz"
"96" "Hombre" "1" "Feliz"
"97" "Hombre" "1" "Poco.feliz"
"98" "Hombre" "3" "Infeliz"
"99" "Hombre" "1" "Poco.feliz"
"100" "Hombre" "1" "Poco.feliz"
"101" "Hombre" "2" "Poco.feliz"
"102" "Hombre" "4" "Feliz"
"103" "Mujer" "4" "Muy.feliz"
"104" "Hombre" "3" "Feliz"
"105" "Hombre" "1" "Feliz"
"106" "Hombre" "1" "Poco.feliz"
"107" "Hombre" "4" "Feliz"
"108" "Hombre" "1" "Poco.feliz"
"109" "Mujer" "1" "Feliz"
"110" "Hombre" "2" "Poco.feliz"
"111" "Hombre" "1" "Feliz"
"112" "Mujer" "2" "Muy.feliz"
"113" "Hombre" "3" "Poco.feliz"
"114" "Hombre" "2" "Poco.feliz"
"115" "Hombre" "2" "Poco.feliz"
"116" "Hombre" "2" "Poco.feliz"
"117" "Hombre" "1" "Muy.feliz"
"118" "Mujer" "1" "Muy.feliz"
"119" "Mujer" "1" "Feliz"
"120" "Hombre" "2" "Feliz"
"121" "Hombre" "1" "Feliz"
"122" "Mujer" "2" "Feliz"
"123" "Hombre" "2" "Feliz"
"124" "Hombre" "3" "Poco.feliz"
