Grado,Hermanos,Nota
BQ,1,93
BL,1,35
BL,1,55
BL,1,77
BL,2,81
BQ,0,86
BQ,1,97
BL,1,40
BL,1,16
BL,1,31
BL,1,11
BQ,0,68
BQ,0,77
BL,1,20
BL,2,36
BL,1,40
BL,1,80
BQ,1,86
BQ,2,93
BL,1,83
BL,1,40
BQ,0,64
BQ,1,40
BL,0,20
BL,2,32
BL,1,20
BQ,1,66
BL,1,37
BL,0,60
BL,0,40
BQ,3,87
BQ,0,82
BL,1,65
BL,2,40
BL,0,20
BL,2,40
BL,1,10
BL,1,50
BL,1,66
BQ,1,41
BL,1,70
BQ,2,52
BL,1,100
BQ,2,60
BL,1,85
BL,0,60
BL,4,66
BL,2,33
BL,1,44
BL,2,55
BL,1,80
BL,1,79
BQ,1,83
BL,0,40
BQ,1,83
BQ,1,53
BQ,3,60
BQ,2,51
BQ,2,58
BL,3,26
BL,1,70
BQ,1,66
BQ,1,75
BL,2,62
BQ,2,30
BQ,0,79
BQ,1,52
BL,2,17
BQ,1,85
BL,1,63
BQ,1,36
BL,2,38
BQ,1,23
BL,1,10
BQ,1,51
BL,0,46
BQ,2,93
BL,0,43
BQ,1,30
BQ,1,92
BL,1,67
BQ,0,65
BQ,1,53
BL,1,77
BL,1,38
BL,2,50
BL,0,46
