"Num" "NotaNum" "NotaLetra" "Grupo"
"1" 4.3 "S" "BLT"
"2" 3.5 "S" "BLT"
"3" 4.5 "S" "BLM"
"4" 6.4 "A" "BLT"
"5" 6.2 "A" "BLT"
"6" 6.7 "A" "BLM"
"7" 8.2 "N" "BLM"
"8" 5 "A" "BLT"
"9" 6.8 "A" "BLM"
"10" 4.6 "S" "BQ"
"11" 4.3 "S" "BQ"
"12" 7.7 "N" "BLT"
"13" 6.4 "A" "BQ"
"14" 3 "S" "BQ"
"15" 5.4 "A" "BLM"
"16" 6.8 "A" "BLT"
"17" 5.9 "A" "BLT"
"18" 3.8 "S" "BLM"
"19" 5.7 "A" "BLM"
"20" 7.3 "N" "BLM"
"21" 7.3 "N" "BQ"
"22" 5.1 "A" "BLM"
"23" 4.7 "S" "BLM"
"24" 5.3 "A" "BLM"
"25" 5.2 "A" "BLT"
"26" 3 "S" "BQ"
"27" 0.9 "E" "BLT"
"28" 6.3 "A" "BQ"
"29" 3 "S" "BLM"
"30" 4.6 "S" "BLT"
"31" 7.8 "N" "BQ"
"32" 3 "S" "BLM"
"33" 5 "A" "BQ"
"34" 7.2 "N" "BQ"
"35" 2.3 "S" "BQ"
"36" 5.5 "A" "BQ"
"37" 5.3 "A" "BQ"
"38" 3 "S" "BLM"
"39" 8.8 "E" "BLM"
"40" 5 "A" "BQ"
"41" 8.1 "N" "BLT"
"42" 5.4 "A" "BLM"
"43" 7.5 "N" "BLM"
"44" 3.1 "S" "BQ"
"45" 6 "A" "BQ"
"46" 3.6 "S" "BQ"
"47" 0.4 "S" "BQ"
"48" 5.7 "A" "BQ"
"49" 3.1 "S" "BLT"
"50" 4.4 "S" "BLM"
"51" 3 "S" "BLT"
"52" 7 "N" "BQ"
"53" 9 "E" "BQ"
"54" 3.3 "S" "BLM"
"55" 3.6 "S" "BQ"
"56" 6 "A" "BQ"
"57" 6.4 "A" "BLM"
"58" 4.7 "S" "BLM"
"59" 5.2 "A" "BQ"
"60" 5.3 "A" "BQ"
"61" 5.1 "A" "BLM"
"62" 3.8 "S" "BLT"
"63" 4.6 "S" "BLT"
"64" 6.4 "A" "BLM"
"65" 10 "E" "BLM"
"66" 4.6 "S" "BLT"
"67" 1 "S" "BLT"
"68" 6.7 "A" "BLT"
"69" 3.8 "S" "BQ"
"70" 5 "A" "BQ"
"71" 6.3 "A" "BLM"
"72" 6.2 "A" "BQ"
"73" 5.8 "A" "BLM"
"74" 4.6 "S" "BLM"
"75" 9.4 "E" "BLM"
"76" 9.4 "E" "BQ"
"77" 2.6 "S" "BLT"
"78" 6.7 "A" "BQ"
"79" 8 "N" "BQ"
"80" 5.9 "A" "BQ"
"81" 7.3 "N" "BLT"
"82" 6.8 "A" "BLT"
"83" 3.3 "S" "BQ"
"84" 6.8 "A" "BQ"
"85" 7.1 "N" "BQ"
"86" 3.9 "S" "BLT"
"87" 0.1 "S" "BLM"
"88" 5.5 "A" "BLT"
"89" 4.3 "S" "BLT"
"90" 1.7 "S" "BLM"
"91" 4.2 "S" "BLT"
"92" 6.4 "A" "BLT"
"93" 6 "A" "BLM"
"94" 7 "N" "BLT"
"95" 5.7 "A" "BLM"
"96" 7.2 "N" "BQ"
"97" 7.4 "N" "BQ"
"98" 6.6 "A" "BLT"
"99" 7 "N" "BLM"
"100" 9.6 "E" "BQ"
"101" 5.1 "A" "BLM"
"102" 6.4 "A" "BLT"
"103" 6.6 "A" "BLM"
"104" 9.2 "E" "BQ"
"105" 5.5 "A" "BQ"
"106" 6.7 "A" "BQ"
"107" 5.6 "A" "BQ"
"108" 7.9 "N" "BLM"
"109" 7.7 "N" "BLM"
"110" 4.5 "S" "BLT"
"111" 7.1 "N" "BLM"
"112" 7.2 "N" "BQ"
"113" 6.8 "A" "BLM"
"114" 5.2 "A" "BQ"
"115" 5.5 "A" "BQ"
"116" 6.9 "N" "BLM"
"117" 7 "N" "BLT"
"118" 7.2 "N" "BLM"
"119" 4.5 "S" "BLT"
"120" 4 "S" "BLT"
"121" 7.1 "N" "BLT"
"122" 6 "A" "BLT"
"123" 5.5 "A" "BQ"
"124" 7.8 "N" "BLM"
"125" 6.9 "N" "BLM"
"126" 6.5 "A" "BLM"
"127" 4.8 "S" "BQ"
"128" 9.6 "E" "BQ"
"129" 6.7 "A" "BLT"
"130" 7.8 "N" "BQ"
"131" 6.2 "A" "BLT"
"132" 5.1 "A" "BLM"
"133" 7.4 "N" "BQ"
"134" 3.1 "S" "BLT"
"135" 7.1 "N" "BQ"
"136" 8 "N" "BLM"
"137" 5.6 "A" "BLM"
"138" 5.4 "A" "BQ"
"139" 6.6 "A" "BLM"
"140" 3.5 "S" "BLM"
"141" 4.4 "S" "BQ"
"142" 7.2 "N" "BQ"
"143" 8.2 "N" "BQ"
"144" 7.2 "N" "BLM"
"145" 9.6 "E" "BQ"
"146" 6 "A" "BLM"
"147" 2.7 "S" "BLT"
"148" 9.4 "E" "BQ"
"149" 6 "A" "BQ"
"150" 4.3 "S" "BQ"
"151" 8 "N" "BQ"
"152" 4.9 "S" "BLT"
"153" 4.8 "S" "BLM"
"154" 5.7 "A" "BLT"
"155" 1.8 "S" "BLT"
"156" 3 "S" "BLM"
"157" 3.4 "S" "BLT"
"158" 6.3 "A" "BQ"
"159" 5.3 "A" "BLM"
"160" 2 "S" "BLM"
"161" 6.3 "A" "BLT"
"162" 3.1 "S" "BLT"
"163" 4.7 "S" "BLT"
"164" 3.9 "S" "BLT"
"165" 9.4 "E" "BQ"
"166" 2.8 "S" "BQ"
"167" 8 "N" "BQ"
"168" 9 "E" "BQ"
"169" 6.2 "A" "BQ"
"170" 8.4 "E" "BQ"
"171" 6.7 "A" "BLM"
"172" 5.4 "A" "BLT"
"173" 6.9 "N" "BLM"
"174" 7 "N" "BLM"
"175" 9 "E" "BQ"
"176" 3 "S" "BLM"
"177" 8.9 "E" "BLT"
"178" 8.6 "N" "BLT"
"179" 7.7 "N" "BLM"
"180" 4.8 "A" "BLM"
"181" 7.9 "N" "BLT"
"182" 7.6 "N" "BQ"
"183" 0.3 "S" "BLT"
"184" 6.1 "A" "BLT"
"185" 5 "A" "BLM"
"186" 4.1 "S" "BLM"
"187" 1.5 "S" "BLM"
"188" 1.3 "S" "BLM"
