Control1,Control2,Talleres,Casa,TestsR,TestsCont
22,0,49,3,2,14
30,0,51,39,24,31
30,0,59,19,48,33
38,0,63,22,45,38
30,3,56,48,59,59
38,4,56,42,68,58
40,5,51,42,38,26
24,6,59,26,34,18
78,7,56,26,37,39
46,7,57,49,66,47
72,9,68,70,64,53
69,9,73,53,69,56
48,10,57,49,83,73
31,10,58,62,57,56
32,12,59,55,59,53
80,14,57,73,56,56
41,15,59,41,86,77
45,16,52,40,57,51
78,17,54,35,51,42
64,17,55,68,50,46
44,19,64,74,79,76
51,20,46,42,59,41
52,20,61,48,74,56
73,22,63,70,84,77
65,23,72,76,67,76
73,30,64,59,58,60
83,30,68,56,57,64
63,30,68,62,75,64
61,30,69,75,82,75
64,30,70,66,73,72
76,30,73,67,79,61
73,30,76,82,68,70
68,30,77,73,81,83
68,31,78,77,85,79
72,31,80,72,79,76
57,32,79,72,71,71
90,33,67,60,58,65
43,36,59,47,89,84
88,36,78,76,82,69
88,38,73,84,88,89
41,38,80,85,86,79
81,39,63,76,87,80
59,40,66,72,65,67
63,40,73,62,76,75
95,42,83,92,93,92
45,43,91,80,90,76
75,44,77,56,83,77
59,45,72,74,90,83
90,45,100,69,90,85
83,46,74,70,85,71
75,49,57,73,93,77
85,50,92,80,84,73
69,53,83,89,89,93
83,58,72,82,96,96
85,59,74,74,89,88
57,60,66,58,69,62
90,68,100,92,94,98
95,68,100,90,98,88
41,0,26,24,51,23
30,0,35,18,31,19
18,0,39,5,0,15
12,0,44,24,0,0
32,0,46,36,66,41
45,8,38,22,53,33
41,9,32,16,31,19
74,9,55,43,44,45
30,10,24,76,50,65
43,12,61,69,65,62
39,13,32,74,63,56
36,14,38,60,74,74
71,14,44,60,48,51
36,14,47,25,51,30
55,15,51,73,19,70
41,15,56,67,42,31
55,16,52,27,64,40
50,17,51,40,60,55
96,17,51,52,70,56
57,20,59,36,48,42
25,22,48,80,61,63
68,23,37,35,66,39
59,23,57,48,40,42
39,24,40,62,69,57
60,24,55,76,58,60
35,25,23,77,71,56
74,30,43,35,75,66
68,30,48,49,75,60
75,30,53,40,80,78
44,31,47,81,69,71
43,31,49,68,94,81
74,31,58,60,69,63
51,32,69,54,67,50
53,33,41,65,67,74
53,35,40,59,54,48
76,35,43,34,82,52
80,35,57,48,46,53
73,37,40,62,66,56
46,37,68,57,53,53
72,39,46,58,52,43
51,39,49,49,53,62
43,41,43,45,55,65
46,43,46,34,27,37
50,44,48,61,68,74
70,45,54,72,65,68
51,46,40,70,65,69
81,46,75,81,80,76
71,48,40,69,83,80
92,71,70,97,100,93
