"estudio" "bebe" "sexo"
"1" "Informática" "No" "Mujer"
"2" "Matemáticas" "No" "Hombre"
"3" "Ing.Industrial" "Sí" "Mujer"
"4" "Informática" "Sí" "Hombre"
"5" "Ing.Industrial" "No" "Mujer"
"6" "Matemáticas" "No" "Mujer"
"7" "Informática" "Sí" "Hombre"
"8" "Ing.Industrial" "No" "Hombre"
"9" "Informática" "No" "Hombre"
"10" "Informática" "No" "Hombre"
"11" "Informática" "No" "Hombre"
"12" "Ing.Industrial" "No" "Hombre"
"13" "Informática" "Sí" "Hombre"
"14" "Informática" "No" "Hombre"
"15" "Telemática" "No" "Hombre"
"16" "Ing.Industrial" "No" "Mujer"
"17" "Informática" "No" "Hombre"
"18" "Ing.Industrial" "No" "Hombre"
"19" "Informática" "No" "Hombre"
"20" "Informática" "No" "Hombre"
"21" "Ing.Industrial" "No" "Hombre"
"22" "Ing.Industrial" "No" "Mujer"
"23" "Matemáticas" "No" "Hombre"
"24" "Ing.Industrial" "No" "Hombre"
"25" "Informática" "No" "Mujer"
"26" "Ing.Industrial" "No" "Hombre"
"27" "Telemática" "No" "Hombre"
"28" "Telemática" "Sí" "Hombre"
"29" "Informática" "No" "Mujer"
"30" "Ing.Industrial" "Sí" "Hombre"
"31" "Ing.Industrial" "Sí" "Hombre"
"32" "Ing.Industrial" "No" "Hombre"
"33" "Matemáticas" "No" "Mujer"
"34" "Matemáticas" "No" "Hombre"
"35" "Informática" "No" "Hombre"
"36" "Ing.Industrial" "No" "Hombre"
"37" "Ing.Industrial" "No" "Mujer"
"38" "Telemática" "No" "Hombre"
"39" "Informática" "No" "Mujer"
"40" "Matemáticas" "No" "Mujer"
"41" "Ing.Industrial" "Sí" "Mujer"
"42" "Matemáticas" "No" "Hombre"
"43" "Ing.Industrial" "No" "Hombre"
"44" "Ing.Industrial" "No" "Hombre"
"45" "Informática" "No" "Mujer"
"46" "Informática" "Sí" "Mujer"
"47" "Informática" "No" "Hombre"
"48" "Informática" "Sí" "Hombre"
"49" "Matemáticas" "Sí" "Hombre"
"50" "Ing.Industrial" "No" "Hombre"
"51" "Ing.Industrial" "No" "Hombre"
"52" "Informática" "Sí" "Hombre"
"53" "Ing.Industrial" "Sí" "Hombre"
"54" "Ing.Industrial" "No" "Hombre"
"55" "Informática" "No" "Mujer"
"56" "Informática" "Sí" "Mujer"
"57" "Ing.Industrial" "No" "Mujer"
"58" "Ing.Industrial" "No" "Hombre"
"59" "Telemática" "No" "Hombre"
"60" "Ing.Industrial" "Sí" "Hombre"
"61" "Informática" "No" "Hombre"
"62" "Ing.Industrial" "No" "Hombre"
"63" "Informática" "No" "Hombre"
"64" "Informática" "No" "Hombre"
"65" "Telemática" "No" "Hombre"
"66" "Informática" "Sí" "Mujer"
"67" "Informática" "No" "Hombre"
"68" "Informática" "No" "Hombre"
"69" "Telemática" "No" "Hombre"
"70" "Ing.Industrial" "No" "Mujer"
"71" "Informática" "No" "Hombre"
"72" "Informática" "No" "Mujer"
"73" "Informática" "No" "Hombre"
"74" "Ing.Industrial" "No" "Hombre"
"75" "Matemáticas" "No" "Hombre"
"76" "Informática" "No" "Hombre"
"77" "Telemática" "No" "Mujer"
"78" "Informática" "No" "Hombre"
"79" "Matemáticas" "No" "Mujer"
"80" "Telemática" "No" "Hombre"
"81" "Informática" "No" "Hombre"
"82" "Ing.Industrial" "Sí" "Hombre"
"83" "Informática" "No" "Hombre"
"84" "Informática" "No" "Hombre"
"85" "Informática" "No" "Hombre"
"86" "Ing.Industrial" "No" "Mujer"
"87" "Telemática" "No" "Mujer"
"88" "Informática" "No" "Mujer"
"89" "Informática" "No" "Mujer"
"90" "Ing.Industrial" "No" "Mujer"
"91" "Ing.Industrial" "No" "Hombre"
"92" "Matemáticas" "No" "Hombre"
"93" "Informática" "No" "Hombre"
"94" "Telemática" "No" "Hombre"
"95" "Ing.Industrial" "No" "Hombre"
"96" "Informática" "Sí" "Mujer"
"97" "Matemáticas" "No" "Hombre"
"98" "Ing.Industrial" "No" "Mujer"
"99" "Telemática" "Sí" "Hombre"
"100" "Informática" "Sí" "Mujer"
"101" "Matemáticas" "No" "Mujer"
"102" "Telemática" "No" "Hombre"
"103" "Informática" "No" "Hombre"
"104" "Ing.Industrial" "No" "Mujer"
"105" "Informática" "No" "Hombre"
"106" "Informática" "Sí" "Hombre"
"107" "Ing.Industrial" "No" "Hombre"
"108" "Informática" "No" "Hombre"
"109" "Informática" "No" "Hombre"
"110" "Informática" "No" "Hombre"
"111" "Matemáticas" "Sí" "Mujer"
"112" "Matemáticas" "No" "Mujer"
"113" "Ing.Industrial" "Sí" "Hombre"
"114" "Telemática" "Sí" "Mujer"
"115" "Informática" "No" "Mujer"
"116" "Telemática" "No" "Hombre"
"117" "Informática" "No" "Mujer"
"118" "Informática" "No" "Hombre"
"119" "Informática" "No" "Hombre"
"120" "Telemática" "No" "Mujer"
"121" "Informática" "Sí" "Hombre"
"122" "Matemáticas" "No" "Hombre"
