"Operat","Edat","Temp.rectal","Pols","Taxa.respiració","Temp.extremitats","Dolor","Peristalsi","Distensió.Abdom","Tot.prot","Resultat"
"1","No","Adult",38.5,66,28,3,"Greu.Continu","Absent","Greu",8.4,"Morí"
"2","Sí","Adult",39.2,88,20,NA,"Lleuger","Absent","Lleugera",85,"Sacrificat"
"3","No","Adult",38.3,40,24,1,"Lleuger","Hipomotílic","No",6.7,"Visqué"
"4","Sí","Jove",39.1,164,84,4,"Deprimit","Absent","Greu",7.2,"Morí"
"5","No","Adult",37.3,104,35,NA,NA,NA,NA,7.4,"Morí"
"6","No","Adult",NA,NA,NA,2,"Deprimit","Hipomotílic","Lleugera",NA,"Visqué"
"7","Sí","Adult",37.9,48,16,1,"Lleuger","Hipomotílic","Moderada",7,"Visqué"
"8","Sí","Adult",NA,60,NA,3,NA,"Absent","Lleugera",8.3,"Morí"
"9","No","Adult",NA,80,36,3,"Greu","Absent","Greu",6.2,"Sacrificat"
"10","No","Jove",38.3,90,NA,1,"Greu.Continu","Hipomotílic","No",6.2,"Visqué"
"11","Sí","Adult",38.1,66,12,3,"Lleuger","Hipomotílic","No",6,"Visqué"
"12","No","Adult",39.1,72,52,2,"Deprimit","Hipermotílic","Lleugera",7.8,"Visqué"
"13","Sí","Adult",37.2,42,12,2,"Lleuger","Hipomotílic","Moderada",7,"Visqué"
"14","No","Jove",38,92,28,1,"No","Hipomotílic","Lleugera",6.1,"Morí"
"15","Sí","Adult",38.2,76,28,3,"Lleuger","Absent","No",81,"Visqué"
"16","Sí","Adult",37.6,96,48,3,"Greu.Continu","Hipomotílic","Moderada",6.8,"Morí"
"17","Sí","Jove",NA,128,36,3,"Greu","Absent","Moderada",7.8,"Morí"
"18","No","Adult",37.5,48,24,NA,NA,NA,NA,NA,"Visqué"
"19","Sí","Adult",37.6,64,21,1,"Deprimit","Hipomotílic","No",7,"Visqué"
"20","No","Adult",39.4,110,35,4,NA,"Hipomotílic","Moderada",8.7,"Visqué"
