pesoKgr zona
0.66 1 
0.47 1 
0.58 1 
0.68 1 
0.56 1 
0.52 1 
0.54 1 
0.59 1 
0.56 1 
0.72 1 
0.63 1 
0.59 1 
0.56 1 
0.56 1 
0.49 1 
0.63 1 
0.53 1 
0.56 1 
0.55 1 
0.50 1 
0.75 1 
0.56 1 
0.59 1 
0.66 1 
0.61 1 
0.56 1 
0.52 1 
0.48 1 
0.56 1 
0.68 1 
0.77 1 
0.59 1 
0.53 1 
0.56 1 
0.65 1 
0.51 1 
0.59 1 
0.49 1 
0.62 1 
0.54 1 
0.56 1 
0.56 1 
0.61 1 
0.50 1 
0.61 1 
0.45 1 
0.65 1 
0.55 1 
0.54 1 
0.61 1 
0.64 1 
0.56 1 
0.71 1 
0.59 1 
0.56 1 
0.59 1 
0.64 1 
0.49 1 
0.56 1 
0.48 1 
0.64 1 
0.56 1 
0.62 1 
0.54 1 
0.53 1 
0.55 1 
0.56 1 
0.63 1 
0.56 1 
0.52 1 
0.66 1 
0.68 1 
0.62 1 
0.56 1 
0.59 1 
0.54 1 
0.50 1 
0.56 1 
0.62 1 
0.49 1 
0.56 1 
0.64 1 
0.60 1 
0.53 1 
0.55 1 
0.64 1 
0.59 1 
0.60 1 
0.52 1 
0.56 1 
0.66 1 
0.54 1 
0.68 1 
0.59 1 
0.56 1 
0.48 1 
0.54 1 
0.56 1 
0.67 1 
0.63 1 
0.46 1 
0.48 1 
0.68 1 
0.61 1 
0.56 1 
0.54 1 
0.49 1 
0.65 1 
0.56 1 
0.61 1 
0.45 1 
0.73 1 
0.60 1 
0.68 1 
0.65 1 
0.56 1 
0.54 1 
0.55 1 
0.60 1 
0.60 1 
0.76 2 
0.81 2 
0.72 2 
0.80 2 
0.57 2 
0.52 2 
0.67 2 
0.59 2 
0.67 2 
0.85 2 
1.10 2 
0.60 2 
0.82 2 
1.19 2 
0.61 2 
0.77 2 
0.83 2 
1.15 2 
0.56 2 
0.75 2 
0.96 2 
0.57 2 
0.95 2 
0.81 2 
0.97 2 
0.64 2 
0.62 2 
0.86 2 
0.70 2 
0.79 2 
1.00 2 
0.70 2 
1.06 2 
0.79 2 
0.67 2 
0.95 2 
0.81 2 
0.53 2 
0.92 2 
0.73 2 
0.64 2 
0.65 2 
0.71 2 
0.68 2 
0.92 2 
0.56 2 
0.76 2 
1.04 2 
0.61 2 
0.62 2 
0.93 2 
0.81 2 
0.87 2 
0.76 2 
0.77 2 
0.75 2 
0.89 2 
0.53 2 
0.82 2 
0.95 2 
0.88 2 
0.65 2 
0.85 2 
0.76 2 
0.85 2 
0.64 2 
0.84 2 
0.74 2 
0.76 2 
0.90 2 
0.96 2 
0.94 2 
1.10 2 
0.69 2 
0.62 2 
0.58 2 
0.52 2 
0.57 2 
0.88 2 
0.69 2 
0.79 2 
0.66 2 
0.92 2 
0.93 2 
0.74 2 
1.17 2 
0.67 2 
0.61 2 
0.81 2 
0.87 2 
1.15 2 
0.66 2 
0.87 2 
0.87 2 
0.68 2 
0.49 2 
0.89 2 
1.21 2 
0.92 2 
0.72 2 
0.48 2 
1.03 2 
1.05 2 
0.70 2 
0.58 2 
0.70 2 
1.04 2 
0.76 2 
0.65 2 
0.68 2 
0.52 2 
0.79 2 
1.03 2 
0.77 2 
0.99 2 
1.24 2 
0.59 2 
0.91 2 
0.66 2 
0.71 2 
